2,99999999,
1,0,
.9975,1,
.9925,2,
.985,3,
.975,4,
0.96,5,
0.945,6,
0.93,7,
0.915,8,
0.9,9,
0.885,10,
0.87,11,
0.85,12,
0.79,13,
0.7,14,
0.68,14.1,
0.66,14.2,
0.64,14.3,
0.62,14.4,
0.55,14.5,
0.44,14.6,
0.33,14.7,
0.24,14.8,
0.2,14.9,
0.18,15,
0.17,15.1,
0.08,16,
0.05,17,
0.04,18,
0.03,19,
0.03,20,
0,20.5
